GEO.id,GEO.id2,GEO.display-label,GC_RANK.target-geo-id,GC_RANK.target-geo-id2,GC_RANK.display-label,GC_RANK.display-label,respop72013
0100000US,,United States,1620000US3774440,3774440,"United States - Wilmington city, North Carolina","Wilmington city, North Carolina",112067
0100000US,,United States,1620000US0803455,0803455,"United States - Arvada city, Colorado","Arvada city, Colorado",111707
0100000US,,United States,1620000US0636546,0636546,"United States - Inglewood city, California","Inglewood city, California",111542
0100000US,,United States,1620000US1245060,1245060,"United States - Miami Gardens city, Florida","Miami Gardens city, Florida",111378
0100000US,,United States,1620000US0611194,0611194,"United States - Carlsbad city, California","Carlsbad city, California",110972
0100000US,,United States,1620000US0883835,0883835,"United States - Westminster city, Colorado","Westminster city, Colorado",110945
0100000US,,United States,1620000US2754880,2754880,"United States - Rochester city, Minnesota","Rochester city, Minnesota",110742
0100000US,,United States,1620000US4853388,4853388,"United States - Odessa city, Texas","Odessa city, Texas",110720
0100000US,,United States,1620000US3345140,3345140,"United States - Manchester city, New Hampshire","Manchester city, New Hampshire",110378
0100000US,,United States,1620000US1723074,1723074,"United States - Elgin city, Illinois","Elgin city, Illinois",110145
0100000US,,United States,1620000US4982950,4982950,"United States - West Jordan city, Utah","West Jordan city, Utah",110077
0100000US,,United States,1620000US4863500,4863500,"United States - Round Rock city, Texas","Round Rock city, Texas",109821
0100000US,,United States,1620000US1212875,1212875,"United States - Clearwater city, Florida","Clearwater city, Florida",109703
0100000US,,United States,1620000US0980000,0980000,"United States - Waterbury city, Connecticut","Waterbury city, Connecticut",109676
0100000US,,United States,1620000US4131250,4131250,"United States - Gresham city, Oregon","Gresham city, Oregon",109397
0100000US,,United States,1620000US0623182,0623182,"United States - Fairfield city, California","Fairfield city, California",109320
0100000US,,United States,1620000US3006550,3006550,"United States - Billings city, Montana","Billings city, Montana",109059
0100000US,,United States,1620000US2537000,2537000,"United States - Lowell city, Massachusetts","Lowell city, Massachusetts",108861
0100000US,,United States,1620000US0665042,0665042,"United States - San Buenaventura (Ventura) city, California","San Buenaventura (Ventura) city, California",108817
0100000US,,United States,1620000US0862000,0862000,"United States - Pueblo city, Colorado","Pueblo city, Colorado",108249
0100000US,,United States,1620000US3731400,3731400,"United States - High Point city, North Carolina","High Point city, North Carolina",107741
0100000US,,United States,1620000US0684200,0684200,"United States - West Covina city, California","West Covina city, California",107740
0100000US,,United States,1620000US0660620,0660620,"United States - Richmond city, California","Richmond city, California",107571
0100000US,,United States,1620000US0650076,0650076,"United States - Murrieta city, California","Murrieta city, California",107479
0100000US,,United States,1620000US2511000,2511000,"United States - Cambridge city, Massachusetts","Cambridge city, Massachusetts",107289
0100000US,,United States,1620000US0602252,0602252,"United States - Antioch city, California","Antioch city, California",107100
0100000US,,United States,1620000US0678120,0678120,"United States - Temecula city, California","Temecula city, California",106780
0100000US,,United States,1620000US0652526,0652526,"United States - Norwalk city, California","Norwalk city, California",106589
0100000US,,United States,1620000US0812815,0812815,"United States - Centennial city, Colorado","Centennial city, Colorado",106114
0100000US,,United States,1620000US5322640,5322640,"United States - Everett city, Washington","Everett city, Washington",105370
0100000US,,United States,1620000US1254000,1254000,"United States - Palm Bay city, Florida","Palm Bay city, Florida",104898
0100000US,,United States,1620000US4879000,4879000,"United States - Wichita Falls city, Texas","Wichita Falls city, Texas",104898
